test,cost,coverage,pastFaults, newFaults
2596,78391.0,43,0,86
54,79171.0,44,0,102
2963,79191.0,45,0,104
4100,79197.0,46,0,112
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
4100,126240.0,47,0,134
1462,126240.0,47,0,134
2596,126240.0,47,0,134
54,126240.0,47,0,134
2963,126240.0,47,0,134
