test,cost,coverage,pastFaults, newFaults
2178,48326.0,49,0,70
1516,51708.0,53,5,70
3158,51730.0,54,9,70
4085,51738.0,55,9,70
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
1311,53021.0,56,10,108
2178,53021.0,56,10,108
1516,53021.0,56,10,108
3158,53021.0,56,10,108
4085,53021.0,56,10,108
